DATE,white_bread,ground_beef,egg,whole_milk,banana,urban_cpi
2/1/1999,0.88,1.431,1.078,3.004,0.509,163.300
3/1/1999,0.883,1.404,1.005,3.003,0.506,163.300
4/1/1999,0.897,1.429,0.942,2.707,0.482,163.400
5/1/1999,0.886,1.444,0.9,2.716,0.492,163.700
6/1/1999,0.885,1.448,0.949,2.704,0.502,163.600
7/1/1999,0.893,1.435,0.88,2.706,0.494,163.800
8/1/1999,0.884,1.442,1.02,2.719,0.49,164.200
9/1/1999,0.878,1.484,0.956,2.794,0.481,164.600
10/1/1999,0.889,1.496,0.888,2.964,0.471,165.100
11/1/1999,0.899,1.518,0.92,2.981,0.48,165.200
12/1/1999,0.899,1.528,0.92,2.875,0.494,165.400
1/1/2000,0.907,1.483,0.975,2.785,0.49,166.100
2/1/2000,0.924,1.516,0.962,2.777,0.528,166.300
3/1/2000,0.924,1.532,0.931,2.748,0.517,166.500
4/1/2000,0.927,1.584,0.939,2.773,0.51,166.600
5/1/2000,0.915,1.57,0.852,2.782,0.509,167.300
6/1/2000,0.915,1.556,0.838,2.763,0.506,167.300
7/1/2000,0.935,1.574,0.868,2.781,0.512,168.100
8/1/2000,0.923,1.611,0.893,2.807,0.49,168.700
9/1/2000,0.918,1.579,0.92,2.809,0.488,168.900
10/1/2000,0.934,1.582,0.923,2.805,0.496,169.100
11/1/2000,0.953,1.621,0.902,2.753,0.479,168.900
12/1/2000,0.987,1.625,0.959,2.785,0.487,170.000
1/1/2001,0.982,1.693,1.011,2.852,0.5,170.900
2/1/2001,0.994,1.732,0.943,2.847,0.496,171.300
3/1/2001,1.02,1.74,0.886,2.76,0.51,171.700
4/1/2001,1.008,1.763,1.028,2.845,0.492,171.900
5/1/2001,0.995,1.735,0.881,2.893,0.509,172.500
6/1/2001,0.989,1.703,0.92,2.911,0.506,173.000
7/1/2001,0.987,1.68,0.862,2.933,0.523,173.500
8/1/2001,0.991,1.634,0.929,2.89,0.519,173.900
9/1/2001,0.996,1.717,0.916,2.941,0.508,174.100
10/1/2001,1.01,1.713,0.916,2.954,0.503,174.900
11/1/2001,1.012,1.747,0.935,2.89,0.509,174.600
12/1/2001,1.005,1.713,0.925,2.895,0.505,174.700
1/1/2002,1.001,1.734,0.973,2.812,0.509,175.800
2/1/2002,1.008,1.7,0.996,2.807,0.504,175.900
3/1/2002,1.012,1.74,1.003,2.816,0.519,176.100
4/1/2002,1.005,1.784,1.047,2.779,0.504,176.200
5/1/2002,1.012,1.737,0.997,2.782,0.515,175.800
6/1/2002,1.011,1.719,0.975,2.768,0.512,175.800
7/1/2002,1.015,1.659,0.99,2.747,0.517,176.000
8/1/2002,1.012,1.669,1.053,2.72,0.499,176.000
9/1/2002,1.016,1.676,1.055,2.728,0.498,176.400
10/1/2002,1.015,1.721,1.039,2.727,0.504,176.500
11/1/2002,1.054,1.721,1.08,2.719,0.505,176.800
12/1/2002,1.026,1.693,1.176,2.682,0.504,177.300
1/1/2003,1.042,1.722,1.175,2.686,0.526,177.500
2/1/2003,1.048,1.778,1.189,2.689,0.508,178.300
3/1/2003,1.042,1.858,1.209,2.656,0.513,178.600
4/1/2003,1.047,1.855,1.131,2.674,0.517,178.400
5/1/2003,1.001,1.856,1.009,2.685,0.505,178.800
6/1/2003,0.961,1.932,1.199,2.676,0.521,179.600
7/1/2003,1.002,1.878,1.15,2.708,0.514,179.700
8/1/2003,0.996,2.006,1.277,2.666,0.514,180.400
9/1/2003,0.994,2.022,1.257,2.904,0.494,180.700
10/1/2003,0.969,2.01,1.33,2.905,0.49,181.700
11/1/2003,0.953,2.256,1.448,2.937,0.498,182.400
12/1/2003,0.954,2.232,1.559,2.947,0.504,183.600
1/1/2004,0.946,2.26,1.573,2.879,0.512,183.800
2/1/2004,0.943,2.25,1.583,2.814,0.504,184.100
3/1/2004,0.947,2.196,1.625,2.786,0.5,184.400
4/1/2004,0.974,2.089,1.562,2.906,0.505,184.500
5/1/2004,0.96,2.125,1.372,3.374,0.491,186.100
6/1/2004,0.979,2.078,1.311,3.574,0.498,186.300
7/1/2004,0.985,2.095,1.253,3.479,0.51,186.800
8/1/2004,0.996,2.13,1.277,3.297,0.507,186.800
9/1/2004,0.985,2.121,1.145,3.149,0.488,186.700
10/1/2004,0.972,2.21,1.089,3.161,0.485,187.900
11/1/2004,0.976,2.216,1.085,3.219,0.469,188.200
12/1/2004,0.97,2.14,1.199,3.233,0.474,188.500
1/1/2005,0.997,2.191,1.211,3.304,0.485,189.100
2/1/2005,0.982,2.229,1.284,3.176,0.502,188.800
3/1/2005,1.002,2.218,1.132,3.226,0.507,189.100
4/1/2005,1.004,2.309,1.164,3.225,0.503,190.200
5/1/2005,1.086,2.363,1.185,3.207,0.497,190.600
6/1/2005,1.09,2.338,1.139,3.122,0.493,190.400
7/1/2005,1.067,2.299,1.165,3.09,0.494,190.800
8/1/2005,1.06,2.422,1.166,3.136,0.487,190.900
9/1/2005,1.052,2.377,1.279,3.133,0.485,191.400
10/1/2005,1.043,2.206,1.264,3.171,0.491,192.100
11/1/2005,1.055,2.302,1.279,3.211,0.48,192.400
12/1/2005,1.046,2.303,1.35,3.241,0.482,192.900
1/1/2006,1.046,2.277,1.449,3.197,0.49,194.100
2/1/2006,1.029,2.188,1.328,3.224,0.508,194.000
3/1/2006,1.04,2.251,1.302,3.161,0.508,194.000
4/1/2006,1.072,2.228,1.283,3.123,0.508,193.700
5/1/2006,1.086,2.24,1.206,3.066,0.514,194.200
6/1/2006,1.074,2.237,1.242,3.001,0.511,194.500
7/1/2006,1.071,2.147,1.213,3.083,0.508,195.000
8/1/2006,1.088,2.213,1.244,3.019,0.492,195.500
9/1/2006,1.083,2.202,1.254,3.049,0.479,196.200
10/1/2006,1.097,2.206,1.257,3.064,0.489,197.100
11/1/2006,1.143,2.206,1.354,2.985,0.498,196.800
12/1/2006,1.137,2.259,1.543,3.004,0.499,197.000
1/1/2007,1.153,2.185,1.549,3.067,0.505,198.812
2/1/2007,1.168,2.304,1.746,3.083,0.507,200.000
3/1/2007,1.161,2.292,1.634,3.072,0.51,200.403
4/1/2007,1.201,2.254,1.616,3.135,0.517,200.820
5/1/2007,1.192,2.307,1.504,3.259,0.503,201.791
6/1/2007,1.193,2.333,1.373,3.427,0.512,202.441
7/1/2007,1.209,2.366,1.502,3.736,0.509,203.121
8/1/2007,1.21,2.395,1.634,3.807,0.506,203.885
9/1/2007,1.212,2.372,1.825,3.841,0.505,204.941
10/1/2007,1.274,2.26,1.771,3.838,0.508,205.796
11/1/2007,1.235,2.289,1.862,3.904,0.515,206.277
12/1/2007,1.28,2.234,2.099,3.87,0.525,206.704
1/1/2008,1.281,2.328,2.175,3.871,0.521,208.618
2/1/2008,1.321,2.381,2.168,3.869,0.54,209.166
3/1/2008,1.35,2.293,2.203,3.781,0.597,209.385
4/1/2008,1.373,2.323,2.069,3.799,0.627,211.102
5/1/2008,1.37,2.313,1.93,3.76,0.63,212.054
6/1/2008,1.373,2.269,1.92,3.773,0.633,213.243
7/1/2008,1.384,2.258,2.011,3.961,0.627,215.299
8/1/2008,1.381,2.371,1.854,3.886,0.634,216.422
9/1/2008,1.379,2.419,1.978,3.773,0.631,217.696
10/1/2008,1.393,2.402,1.858,3.656,0.629,218.738
11/1/2008,1.377,2.357,1.838,3.734,0.626,218.749
12/1/2008,1.415,2.406,1.834,3.681,0.617,218.805
1/1/2009,1.381,2.357,1.85,3.575,0.629,219.675
2/1/2009,1.404,2.436,1.795,3.319,0.641,219.205
3/1/2009,1.41,2.269,1.693,3.116,0.634,218.600
4/1/2009,1.395,2.251,1.774,3.084,0.629,218.162
5/1/2009,1.413,2.257,1.501,3.068,0.622,217.826
6/1/2009,1.385,2.234,1.529,3.009,0.617,217.740
7/1/2009,1.391,2.147,1.495,2.992,0.616,217.257
8/1/2009,1.375,2.134,1.632,2.979,0.611,217.350
9/1/2009,1.34,2.138,1.627,2.981,0.605,217.218
10/1/2009,1.392,2.177,1.595,3.046,0.598,217.526
11/1/2009,1.373,2.062,1.705,3.034,0.561,217.265
12/1/2009,1.39,2.186,1.772,3.105,0.571,217.637
1/1/2010,1.36,2.279,1.789,3.236,0.586,218.874
2/1/2010,1.361,2.277,1.872,3.203,0.587,218.778
3/1/2010,1.368,2.24,1.822,3.188,0.575,219.032
4/1/2010,1.363,2.364,1.779,3.14,0.58,219.218
5/1/2010,1.359,2.309,1.523,3.178,0.571,219.374
6/1/2010,1.383,2.4,1.494,3.297,0.577,219.218
7/1/2010,1.36,2.453,1.441,3.313,0.583,219.121
8/1/2010,1.372,2.502,1.519,3.303,0.576,219.491
9/1/2010,1.386,2.398,1.753,3.278,0.573,220.216
10/1/2010,1.407,2.397,1.456,3.321,0.58,220.616
11/1/2010,1.375,2.394,1.675,3.327,0.581,220.617
12/1/2010,1.386,2.378,1.793,3.318,0.587,220.946
1/1/2011,1.401,2.533,1.806,3.301,0.596,222.912
2/1/2011,1.398,2.659,1.708,3.357,0.625,223.799
3/1/2011,1.415,2.715,1.732,3.503,0.621,225.350
4/1/2011,1.42,2.722,1.727,3.597,0.621,226.150
5/1/2011,1.472,2.694,1.692,3.653,0.617,226.976
6/1/2011,1.49,2.774,1.683,3.622,0.614,227.360
7/1/2011,1.513,2.818,1.647,3.654,0.611,228.316
8/1/2011,1.474,2.819,1.711,3.713,0.606,229.554
9/1/2011,1.477,2.868,1.947,3.715,0.607,230.573
10/1/2011,1.457,2.876,1.871,3.622,0.607,231.017
11/1/2011,1.399,2.899,1.836,3.557,0.598,230.790
12/1/2011,1.42,2.921,1.874,3.565,0.599,231.301
1/1/2012,1.423,3.005,1.939,3.583,0.604,232.666
2/1/2012,1.442,2.947,1.798,3.52,0.603,232.486
3/1/2012,1.395,3.016,1.774,3.499,0.607,232.792
4/1/2012,1.426,2.998,1.829,3.474,0.603,233.234
5/1/2012,1.412,2.995,1.691,3.427,0.599,233.339
6/1/2012,1.403,3.007,1.67,3.396,0.605,233.563
7/1/2012,1.427,3.085,1.648,3.428,0.604,233.630
8/1/2012,1.407,2.991,1.884,3.474,0.595,234.156
9/1/2012,1.401,3.024,1.889,3.469,0.597,234.298
